"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","VPS策略账号交易下单-开仓的场景校验","场景5：复制下单-手数0.1-1，总手数5","0","0","6","0","0"
"","VPS策略下单-漏单场景","场景1：VPS策略下单-漏开","0","0","14","0","0"
"","跟单软件看板-vps数据-修改跟单账号","场景1：VPS策略下单-跟单修改币种","0","0","10","0","0"
"","VPS策略下单-漏单场景","场景3：VPS策略下单-关闭策略跟单状态","0","0","11","0","0"
"","VPS策略下单-平仓的功能校验","场景4：平仓的订单方向功能验证-平仓buy sell","0","0","4","0","0"
"","数据管理-删除VPS测试数据","","0","0","14","4","0"
"","跟单软件看板-VPS数据-批量新增VPS跟单","","0","0","3","0","0"
"","VPS策略下单-跟随策略账号订单备注","场景2：策略有固定注释，跟单有固定注释","0","0","4","0","0"
"","数据管理-创建数据-为VPS测试准备","","0","0","15","4","0"
"","VPS策略下单-跟随策略账号订单备注","场景1：策略有固定注释，跟单无固定注释","0","0","4","0","0"
"","仪表盘","仪表盘-vps策略数据","0","0","5","0","0"
"","VPS策略下单-漏单场景","场景2：VPS策略下单-漏平","0","0","14","0","0"
"","VPS策略下单-平仓的功能校验","场景9：平仓的备注功能验证","0","0","5","0","0"
"","VPS策略下单-开仓的场景校验","场景4：手数范围0.01-1，总订单10","0","0","7","0","0"
"","VPS策略下单-平仓的功能校验","场景8：平仓的订单类型功能验证-全部订单","0","0","3","0","0"
"","VPS策略账号交易下单-开仓的场景校验","场景6：复制下单-手数0.1-1，总订单5-停止功能","0","0","8","0","0"
"","VPS策略下单-平仓的功能校验","场景1：平仓的停止功能验证","0","0","6","0","0"
"","VPS策略下单-开仓的场景校验","场景2：手数范围0.01-0.01，总手数0.01","0","0","7","0","0"
"","VPS策略下单-开仓的场景校验","场景5：手数范围0.1-1，总手数1-停止功能","0","0","5","0","0"
"","VPS策略下单-平仓的功能校验","场景3：平仓的订单方向功能验证-跟单是buy","0","0","5","0","0"
"","VPS策略账号交易下单-开仓的场景校验","场景2：复制下单-手数0.1-1，总订单3，总手数1","0","0","6","0","0"
"","VPS策略下单-开仓的场景校验","场景3：手数范围0.1-1，总手数5","0","0","7","0","0"
"","VPS策略下单-平仓的功能校验","场景2：平仓的订单方向功能验证-跟单是sell","0","0","6","0","0"
"","VPS策略账号交易下单-开仓的场景校验","场景3：复制下单-手数0.01-0.01，总手数0.01","0","0","6","0","0"
"","VPS策略下单-平仓的功能校验","场景6：平仓的订单类型功能验证-MT4外部订单","0","0","4","0","0"
"","跟单软件看板-vps数据-修改跟单账号","场景2：VPS策略下单-跟单修改模式、品种","0","0","10","0","0"
"","VPS策略账号交易下单-开仓的场景校验","场景1：分配下单-手数0.1-1，总手数1","0","0","6","0","0"
"","VPS策略下单-开仓的场景校验2","场景1：VPS策略下单-手数范围0.6-1，总手数1","0","0","7","0","0"
"","仪表盘","仪表盘-vps跟单数据","1","0","4","0","0"
"","VPS策略账号交易下单-开仓的场景校验","场景4：复制下单-手数0.01-1，总订单10","0","0","6","0","0"
"","VPS策略下单-开仓的场景校验","场景1：手数范围0.1-1，总订单3，总手数1","0","0","7","0","0"
"","VPS策略下单-平仓的功能校验","场景5：平仓的订单数量功能验证","0","0","4","0","0"
"","VPS策略下单-跟随策略账号订单备注","场景3：策略开启订单备注，跟单无固定注释","0","0","4","0","0"
"","VPS策略下单-开仓的场景校验2","场景2：VPS策略下单-手数范围0.3-1，总订单数量1，总手数5","0","0","7","0","0"
"","VPS策略下单-平仓的功能校验","场景7：平仓的订单类型功能验证-内部订单","0","0","3","0","0"
"","VPS策略下单-开仓的场景校验2","场景3：VPS交易分配-手数范围0.1-1，总手数0.01","0","0","1","0","0"
"","VPS策略下单-开仓的场景校验2","场景4：VPS交易分配-手数范围0.1-1，总手数2","0","0","1","0","0"
