"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","账号管理-创建账号-为云策略准备","","5","0","17","0","0"
"","云策略交易下单-跟随策略账号订单备注-第二种情况","","2","1","3","0","0"
"","删除基本账号-云策略账号","","0","0","22","0","0"
"","VPS策略下单-漏开","","0","0","14","0","0"
"","交易下单-云策略复制下单-漏开","","5","12","6","0","0"
"","删除基本账号","","0","0","5","1","0"
"","VPS策略下单-正常开仓平仓","","2","0","5","0","0"
"","账号管理-创建基本信息","","0","0","17","2","0"
"","VPS策略下单-漏平","","0","0","14","0","0"
"","VPS策略下单-跟单修改币种","","0","0","10","0","0"
"","删除跟单账号和策略账号","","0","0","12","0","0"
"","交易下单-云策略复制下单","","5","6","11","0","0"
"","云策略-复制下单","","2","2","0","0","0"
"","VPS交易下单-分配下单","","1","0","3","0","0"
"","云策略-分配下单","","2","2","0","0","0"
"","云策略-云策略列表-云跟单账号修改币种","","1","6","4","0","0"
"","VPS交易下单-复制下单","","2","0","2","0","0"
"","交易下单-云策略manager策略账号复制下单","","2","0","2","0","0"
"","云策略策略下单-跟单修改模式、品种","","1","6","4","0","0"
"","VPS策略下单-跟随策略账号订单备注-第二种情况","","0","0","6","0","0"
"","删除基本账号-批量删除云策略账号","","2","0","0","0","0"
"","VPS策略下单-关闭策略跟单状态","","0","0","11","0","0"
"","云策略交易下单-跟随策略账号订单备注-第一种情况","","2","1","3","0","0"
"","VPS策略下单-跟随策略账号订单备注-第一种情况","","0","0","6","0","0"
"","VPS策略下单-跟单修改模式、品种","","0","0","10","0","0"
"","云策略交易下单-跟随策略账号订单备注-第三种情况","","2","1","3","0","0"
"","交易下单-云策略manager策略账号分配下单","","1","0","3","0","0"
"","云策略-云策略列表-批量新增云跟单账号","","3","0","0","0","0"
"","VPS策略下单-跟随策略账号订单备注-第三种情况","","0","0","6","0","0"
"","账号管理-创建跟单账号","","0","0","3","0","0"
