"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","VPS策略下单-跟单修改模式、品种","","0","3","7","0","0"
"","VPS策略下单-漏平","","0","0","14","0","0"
"","数据管理-创建数据-为VPS测试准备","","0","0","14","4","0"
"","跟单软件看板-VPS数据-批量新增VPS跟单","","0","0","3","0","0"
"","VPS策略下单-漏开","","0","1","13","0","0"
"","VPS策略下单-正常开仓平仓","","0","1","5","1","0"
"","VPS策略下单-跟单修改币种","","0","3","7","0","0"
"","删除跟单账号和策略账号","","0","0","12","0","0"
"","VPS交易下单-分配下单","","0","0","4","0","0"
"","数据管理-删除VPS测试数据","","0","0","2","4","0"
"","VPS交易下单-复制下单","","0","0","4","0","0"
