"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","云策略复制下单-平仓的功能校验","场景10：平仓的功能校验-全平订单","0","1","6","0","0"
"","云策略复制下单-平仓的功能校验","场景8：平仓的订单备注功能校验","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景9：平仓的功能校验-全平策略","1","0","6","0","0"
"","云策略复制下单-平仓的功能校验","场景1：平仓的停止功能校验","0","0","7","0","0"
"","云策略复制下单-平仓的功能校验","场景5：平仓的订单类型功能校验-内部订单","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景6：平仓的订单类型功能校验-外部订单","0","1","5","0","0"
"","云策略复制下单-平仓的功能校验","场景2：平仓的订单方向功能校验-sell","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景7：平仓的订单类型功能校验-全部订单","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景3：平仓的订单方向功能校验-buy sell","0","0","5","0","0"
"","云策略复制下单-平仓的功能校验","场景11：平仓的功能校验-全平订单","0","0","3","0","0"
"","云策略复制下单-平仓的功能校验","场景4：平仓的订单数量功能校验","0","0","5","0","0"
