"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","账号管理-创建账号-为云策略准备","","0","0","23","0","0"
"","云策略-复制下单","","0","0","4","0","0"
"","云策略交易下单-跟随策略账号订单备注-第一种情况","","0","0","6","0","0"
"","云策略交易下单-跟随策略账号订单备注-第二种情况","","0","0","6","0","0"
"","删除基本账号-云策略账号","","0","0","22","0","0"
"","交易下单-云策略复制下单-漏开","","0","1","22","0","0"
"","交易下单-云策略manager策略账号复制下单","","0","0","4","0","0"
"","交易下单-云策略manager策略账号分配下单","","0","0","4","0","0"
"","云策略策略下单-跟单修改模式、品种","","0","0","11","0","0"
"","交易下单-云策略复制下单","","0","0","22","0","0"
"","云策略-云策略列表-批量新增云跟单账号","","0","0","3","0","0"
"","云策略-云策略列表-云跟单账号修改币种","","0","0","11","0","0"
"","云策略交易下单-跟随策略账号订单备注-第三种情况","","0","0","6","0","0"
"","删除基本账号-批量删除云策略账号","","0","0","2","0","0"
"","云策略-分配下单","","0","0","4","0","0"
