"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","VPS策略下单-跟单修改币种","","0","0","10","0","0"
"","VPS策略下单-漏平","","0","0","14","0","0"
"","VPS策略下单-跟随策略账号订单备注-第二种情况","","0","0","6","0","0"
"","VPS策略下单-关闭策略跟单状态","","0","0","11","0","0"
"","账号管理-创建基本信息","","0","0","17","2","0"
"","VPS策略下单-跟单修改模式、品种","","0","0","10","0","0"
"","VPS策略下单-漏开","","0","0","14","0","0"
"","删除基本账号","","0","0","5","1","0"
"","VPS策略下单-跟随策略账号订单备注-第一种情况","","0","0","6","0","0"
"","VPS交易下单-复制下单","","2","0","2","0","0"
"","账号管理-创建跟单账号","","0","0","3","0","0"
"","删除跟单账号和策略账号","","0","0","12","0","0"
"","VPS策略下单-跟随策略账号订单备注-第三种情况","","0","0","6","0","0"
"","VPS交易下单-分配下单","","1","0","3","0","0"
"","VPS策略下单-正常开仓平仓","","2","0","5","0","0"
