"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","VPS策略下单-正常开仓平仓（多场景汇总）","场景3：手数范围0.1-1，总手数5","4","0","3","0","0"
"","VPS策略下单-漏平","","1","1","12","0","0"
"","云策略manager策略账号交易下单","复制下单场景","0","0","4","0","0"
"","删除跟单账号和策略账号","","2","7","3","0","0"
"","交易下单-云策略复制下单-云策略-策略状态关闭","","0","0","11","0","0"
"","VPS策略下单-漏开","","0","0","14","0","0"
"","账号管理-创建基本信息","","0","0","17","2","0"
"","云策略策略下单-跟单修改模式、品种","","0","8","3","0","0"
"","VPS策略下单-关闭策略跟单状态","","0","0","11","0","0"
"","VPS策略下单-跟单修改模式、品种","","0","8","2","0","0"
"","删除基本账号-云策略账号","","0","11","11","0","0"
"","删除基本账号","","0","2","3","1","0"
"","VPS策略下单-正常开仓平仓（多场景汇总）","场景1：手数范围0.1-1，总订单3，总手数1","1","0","6","0","0"
"","云策略交易下单-跟随策略账号订单备注（多场景汇总）","场景1：策略有固定注释，跟单无固定注释","0","2","3","0","0"
"","云策略交易下单-跟随策略账号订单备注（多场景汇总）","场景3：策略开启订单备注，跟单无固定注释","0","2","3","0","0"
"","云策略-云策略列表-云跟单账号修改币种","","0","7","4","0","0"
"","云策略交易下单-跟随策略账号订单备注（多场景汇总）","场景2：策略有固定注释，跟单有固定注释","0","2","3","0","0"
"","云策略-云策略列表-批量新增云跟单账号","","1","1","1","0","0"
"","","","6","0","8","0","0"
"","账号管理-创建账号-为云策略准备","","0","0","23","0","0"
"","删除基本账号-批量删除云策略账号","","1","1","0","0","0"
"","交易下单-云策略复制下单-策略账号-策略状态关闭","","0","1","10","0","0"
"","交易下单-云策略复制下单-漏开","","0","0","23","0","0"
"","VPS交易下单（分配与复制）","模式一：分配下单","0","2","2","0","0"
"","云策略下单功能测试","复制下单场景","0","0","4","0","0"
"","VPS策略下单-正常开仓平仓（多场景汇总）","场景4：手数范围0.01-1，总订单10","0","0","7","0","0"
"","VPS策略下单-正常开仓平仓(多场景汇总)","","0","0","0","6","0"
"","VPS策略下单-跟单修改币种","","0","7","3","0","0"
"","云策略下单功能测试","分配下单场景","0","0","4","0","0"
"","VPS策略下单-跟随策略账号订单备注（多场景汇总）","场景2：策略有固定注释，跟单有固定注释","4","0","0","0","0"
"","VPS策略下单-正常开仓平仓（多场景汇总）","场景5：手数范围0.1-1，总手数1-停止功能","0","0","5","0","0"
"","VPS策略下单-跟随策略账号订单备注（多场景汇总）","场景3：策略开启订单备注，跟单无固定注释","4","0","0","0","0"
"","VPS策略下单-正常开仓平仓（多场景汇总）","场景2：手数范围0.01-0.01，总手数0.01","1","0","6","0","0"
"","账号管理-创建跟单账号","","1","1","1","0","0"
"","VPS策略下单-跟随策略账号订单备注（多场景汇总）","场景1：策略有固定注释，跟单无固定注释","4","0","0","0","0"
"","VPS交易下单（分配与复制）","模式二：复制下单","1","2","1","0","0"
"","云策略manager策略账号交易下单","分配下单场景","0","0","4","0","0"
