"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","账号管理-创建基本信息","","0","0","16","4","0"
"","VPS交易下单-复制下单","","0","0","6","0","0"
"","VPS策略下单-漏平","","0","0","16","0","0"
"","VPS策略下单-漏开","","0","0","17","0","0"
"","VPS策略下单-正常开仓平仓","","0","0","10","0","0"
"","VPS策略下单-跟单修改模式、品种","","0","0","9","0","0"
"","VPS策略下单-跟单修改币种","","0","0","10","0","0"
"","删除跟单账号和策略账号","","3","0","9","0","0"
"","账号管理-创建跟单账号","","0","0","3","0","0"
"","删除基本账号","","0","0","5","0","0"
"","VPS交易下单-分配下单","","0","0","6","0","0"
